metric_date,paid_orders,paying_users,revenue,aov
2025-01-01,3,3,1253.76,417.92
2025-01-02,1,1,93.12,93.12
2025-01-03,4,4,1795.18,448.80
2025-01-04,4,4,1045.50,261.38
2025-01-05,9,9,4051.85,450.21
2025-01-06,4,4,1975.73,493.93
2025-01-07,4,4,2038.13,509.53
2025-01-08,5,5,1823.14,364.63
2025-01-09,7,7,2098.07,299.72
2025-01-10,11,11,2889.99,262.73
2025-01-11,8,8,3956.91,494.61
2025-01-12,12,12,3271.81,272.65
2025-01-13,10,10,2454.37,245.44
2025-01-14,21,21,11223.93,534.47
2025-01-15,18,18,6679.73,371.10
2025-01-16,21,21,6050.52,288.12
2025-01-17,17,17,6184.75,363.81
2025-01-18,17,17,9739.91,572.94
2025-01-19,17,17,7976.21,469.19
2025-01-20,27,27,7722.80,286.03
2025-01-21,29,29,10973.44,378.39
2025-01-22,26,25,9942.28,382.40
2025-01-23,17,17,5831.11,343.01
2025-01-24,29,28,12476.78,430.23
2025-01-25,33,33,16327.25,494.77
2025-01-26,32,32,15441.23,482.54
2025-01-27,25,25,8782.58,351.30
2025-01-28,31,30,10216.69,329.57
2025-01-29,31,31,8834.74,284.99
2025-01-30,38,37,16138.54,424.70
2025-01-31,38,38,10931.99,287.68
2025-02-01,43,43,24519.26,570.22
2025-02-02,40,40,17298.39,432.46
2025-02-03,50,50,20342.50,406.85
2025-02-04,38,37,15148.68,398.65
2025-02-05,40,40,20022.81,500.57
2025-02-06,53,52,16467.01,310.70
2025-02-07,39,38,16075.23,412.19
2025-02-08,46,44,14793.62,321.60
2025-02-09,50,50,22093.11,441.86
2025-02-10,64,62,20515.62,320.56
2025-02-11,53,53,24474.52,461.78
2025-02-12,50,50,18990.25,379.81
2025-02-13,49,49,21246.32,433.60
2025-02-14,56,55,20298.66,362.48
2025-02-15,61,61,20469.98,335.57
2025-02-16,58,56,24204.45,417.32
2025-02-17,57,56,15924.93,279.38
2025-02-18,48,48,20387.16,424.73
2025-02-19,56,56,21863.93,390.43
2025-02-20,76,76,27178.30,357.61
2025-02-21,77,77,23916.03,310.60
2025-02-22,62,62,21572.32,347.94
2025-02-23,68,66,22531.20,331.34
2025-02-24,65,65,27250.29,419.24
2025-02-25,65,64,22414.90,344.84
2025-02-26,71,71,27841.73,392.14
2025-02-27,75,75,26651.52,355.35
2025-02-28,78,77,27661.65,354.64
2025-03-01,89,86,30262.49,340.03
2025-03-02,87,85,29395.33,337.88
2025-03-03,73,73,32116.57,439.95
2025-03-04,112,110,47643.85,425.39
2025-03-05,76,73,33901.16,446.07
2025-03-06,87,86,41365.03,475.46
2025-03-07,94,94,36515.70,388.46
2025-03-08,82,82,31837.10,388.26
2025-03-09,95,93,37722.38,397.08
2025-03-10,84,84,31065.62,369.83
2025-03-11,93,93,35892.44,385.94
2025-03-12,82,79,34796.16,424.34
2025-03-13,99,97,36244.59,366.11
2025-03-14,99,96,44780.96,452.33
2025-03-15,98,97,36139.85,368.77
2025-03-16,118,115,45575.14,386.23
2025-03-17,128,124,54257.19,423.88
2025-03-18,114,113,44756.03,392.60
2025-03-19,105,104,48822.40,464.98
2025-03-20,117,117,49917.05,426.64
2025-03-21,111,111,40027.37,360.61
2025-03-22,119,119,59013.27,495.91
2025-03-23,111,111,46576.30,419.61
2025-03-24,112,110,47183.69,421.28
2025-03-25,102,101,34298.18,336.26
2025-03-26,119,118,47673.73,400.62
2025-03-27,121,121,40698.28,336.35
2025-03-28,138,138,58136.30,421.28
2025-03-29,124,123,46296.03,373.36
2025-03-30,144,143,59254.24,411.49
2025-03-31,123,122,47989.18,390.16
2025-04-01,167,164,68455.94,409.92
2025-04-02,151,151,62865.92,416.33
2025-04-03,142,140,46978.05,330.83
2025-04-04,149,147,57511.73,385.98
2025-04-05,145,145,64717.96,446.33
2025-04-06,137,136,54579.78,398.39
2025-04-07,160,160,63146.70,394.67
2025-04-08,150,148,54320.25,362.14
2025-04-09,144,140,61095.63,424.28
2025-04-10,154,152,56624.93,367.69
2025-04-11,155,152,60017.65,387.21
2025-04-12,182,177,67531.57,371.05
2025-04-13,150,147,70062.11,467.08
2025-04-14,155,154,57001.11,367.75
2025-04-15,148,146,57323.04,387.32
2025-04-16,146,144,59467.25,407.31
2025-04-17,154,151,55738.35,361.94
2025-04-18,164,162,73264.33,446.73
2025-04-19,179,176,63292.85,353.59
2025-04-20,166,165,74715.10,450.09
2025-04-21,169,166,76364.21,451.86
2025-04-22,179,174,67816.75,378.86
2025-04-23,185,184,81404.81,440.03
2025-04-24,164,162,62656.82,382.05
2025-04-25,192,189,83395.94,434.35
2025-04-26,170,167,64925.05,381.91
2025-04-27,207,205,84687.63,409.12
2025-04-28,176,172,68026.39,386.51
2025-04-29,208,205,81971.12,394.09
2025-04-30,187,187,88375.06,472.59
2025-05-01,189,183,73229.19,387.46
2025-05-02,190,188,73116.22,384.82
2025-05-03,170,168,63651.30,374.42
2025-05-04,181,178,76603.77,423.23
2025-05-05,197,195,79269.87,402.39
2025-05-06,186,186,77461.39,416.46
2025-05-07,200,196,75354.97,376.77
2025-05-08,207,203,88313.35,426.63
2025-05-09,205,201,80331.63,391.86
2025-05-10,205,202,87899.59,428.78
2025-05-11,201,197,85616.14,425.95
2025-05-12,213,209,86213.86,404.76
2025-05-13,193,191,70214.40,363.81
2025-05-14,213,210,91181.38,428.08
2025-05-15,227,224,103778.96,457.18
