month,paid_orders,paying_user_days,revenue,aov
2025-01-01,549,545,210222.04,382.92
2025-02-01,1588,1573,602154.37,379.19
2025-03-01,3256,3218,1310153.61,402.38
2025-04-01,4935,4868,1988334.03,402.90
2025-05-01,6910,6806,2737388.27,396.15
2025-06-01,8792,8652,3441427.84,391.43
2025-07-01,11574,11325,4571175.75,394.95
2025-08-01,14467,14191,5740554.63,396.80
2025-09-01,17593,17196,7075131.92,402.16
2025-10-01,19452,18962,7726249.16,397.20
2025-11-01,16807,16380,6620648.66,393.92
2025-12-01,11670,11447,4631909.08,396.91
