product_id,category,buyers,units,item_net_sales,revenue,cost,gross_profit,gross_margin,category_rank
500,Beauty,139,162,82483.10,82339.59,38928.60,43410.99,0.5272,1
1124,Beauty,133,152,76366.99,76331.96,35701.76,40630.20,0.5323,2
398,Beauty,135,164,70156.42,70101.74,48268.48,21833.26,0.3115,3
867,Beauty,140,168,69694.36,69614.10,44768.64,24845.46,0.3569,4
1117,Beauty,163,190,66516.04,66453.05,46308.70,20144.35,0.3031,5
275,Beauty,130,151,53318.30,53258.85,29188.30,24070.55,0.4520,6
1348,Beauty,151,179,46550.69,46462.21,28133.43,18328.78,0.3945,7
528,Beauty,127,146,45144.83,45085.17,31768.14,13317.03,0.2954,8
816,Beauty,133,155,41030.93,40925.17,32791.80,8133.37,0.1987,9
1439,Beauty,119,148,37593.39,37530.20,27750.00,9780.20,0.2606,10
1189,Beauty,131,151,37584.35,37521.26,26562.41,10958.85,0.2921,11
1453,Beauty,133,162,34784.03,34727.98,20318.04,14409.94,0.4149,12
67,Beauty,113,139,34456.38,34430.25,20010.44,14419.81,0.4188,13
803,Beauty,120,143,33685.12,33645.10,24152.70,9492.40,0.2821,14
497,Beauty,135,160,31542.68,31501.70,15016.00,16485.70,0.5233,15
111,Beauty,118,146,31290.42,31285.82,24246.22,7039.60,0.2250,16
1034,Beauty,153,187,30940.12,31223.80,22612.04,8611.76,0.2758,17
1021,Beauty,140,165,29794.02,30041.58,15759.15,14282.43,0.4754,18
1140,Beauty,116,143,29766.95,29819.65,14205.62,15614.03,0.5236,19
1482,Beauty,130,148,29718.79,29817.91,17860.64,11957.27,0.4010,20
1125,Beauty,126,147,29071.69,29126.39,13472.55,15653.84,0.5374,21
849,Beauty,152,178,27471.73,27942.71,19763.34,8179.37,0.2927,22
679,Beauty,143,165,27384.15,27807.08,13662.00,14145.08,0.5087,23
140,Beauty,136,164,26793.18,27144.78,19030.56,8114.22,0.2989,24
307,Beauty,154,178,26237.94,26666.26,16943.82,9722.44,0.3646,25
1194,Beauty,121,140,26132.84,26416.32,17536.40,8879.92,0.3362,26
114,Beauty,110,131,25854.63,25859.31,14193.85,11665.46,0.4511,27
215,Beauty,127,153,25059.77,25342.11,15563.16,9778.95,0.3859,28
354,Beauty,127,144,24763.46,25215.64,19386.72,5828.92,0.2312,29
294,Beauty,141,175,24582.16,24960.19,19328.75,5631.44,0.2256,30
1492,Beauty,119,142,24383.79,24695.67,13350.84,11344.83,0.4594,31
342,Beauty,120,144,24086.88,24365.14,16695.36,7669.78,0.3148,32
226,Beauty,148,175,24003.99,24324.73,16023.00,8301.73,0.3413,33
1236,Beauty,127,153,23224.65,23607.51,15153.12,8454.39,0.3581,34
928,Beauty,135,160,23267.49,23593.31,17054.40,6538.91,0.2772,35
1007,Beauty,132,158,22823.32,23221.50,18277.44,4944.06,0.2129,36
252,Beauty,108,123,22732.68,22955.89,11855.97,11099.92,0.4835,37
1287,Beauty,136,163,22352.90,22714.86,13758.83,8956.03,0.3943,38
467,Beauty,129,152,22069.49,22356.52,12690.48,9666.04,0.4324,39
1494,Beauty,129,160,21926.77,22313.09,17233.60,5079.49,0.2276,40
1038,Beauty,130,152,21560.24,22021.03,12673.76,9347.27,0.4245,41
556,Beauty,126,149,21601.87,21952.69,11079.64,10873.05,0.4953,42
400,Beauty,94,112,21555.53,21785.39,11204.48,10580.91,0.4857,43
282,Beauty,146,174,21121.33,21641.69,14187.96,7453.73,0.3444,44
1246,Beauty,115,139,21264.53,21578.23,11296.53,10281.70,0.4765,45
1071,Beauty,127,148,20876.50,21255.99,15986.96,5269.03,0.2479,46
644,Beauty,123,151,20729.14,21111.82,10345.01,10766.81,0.5100,47
530,Beauty,121,146,20453.34,20833.71,13808.68,7025.03,0.3372,48
639,Beauty,112,132,20378.75,20699.92,12309.00,8390.92,0.4054,49
1037,Beauty,150,181,20016.62,20530.57,14212.12,6318.45,0.3078,50
274,Beauty,125,154,20108.79,20392.36,13111.56,7280.80,0.3570,51
314,Beauty,122,149,19401.71,19722.99,12371.47,7351.52,0.3727,52
1150,Beauty,118,142,19132.69,19388.37,12264.54,7123.83,0.3674,53
