cohort_month,month_number,active_users,cohort_size,retention_rate
2025-01-01,0,5708,5708,1.0000
2025-01-01,1,2227,5708,0.3902
2025-01-01,2,2453,5708,0.4297
2025-01-01,3,2438,5708,0.4271
2025-01-01,4,2463,5708,0.4315
2025-01-01,5,2426,5708,0.4250
2025-01-01,6,2420,5708,0.4240
2025-01-01,7,2425,5708,0.4248
2025-01-01,8,2395,5708,0.4196
2025-01-01,9,2324,5708,0.4071
2025-01-01,10,2257,5708,0.3954
2025-01-01,11,2103,5708,0.3684
2025-02-01,0,5118,5118,1.0000
2025-02-01,1,2332,5118,0.4556
2025-02-01,2,2331,5118,0.4555
2025-02-01,3,2312,5118,0.4517
2025-02-01,4,2322,5118,0.4537
2025-02-01,5,2390,5118,0.4670
2025-02-01,6,2303,5118,0.4500
2025-02-01,7,2238,5118,0.4373
2025-02-01,8,2243,5118,0.4383
2025-02-01,9,2097,5118,0.4097
2025-02-01,10,2055,5118,0.4015
2025-03-01,0,5735,5735,1.0000
2025-03-01,1,2745,5735,0.4786
2025-03-01,2,2744,5735,0.4785
2025-03-01,3,2727,5735,0.4755
2025-03-01,4,2802,5735,0.4886
2025-03-01,5,2767,5735,0.4825
2025-03-01,6,2676,5735,0.4666
2025-03-01,7,2674,5735,0.4663
2025-03-01,8,2613,5735,0.4556
2025-03-01,9,2440,5735,0.4255
2025-04-01,0,5464,5464,1.0000
2025-04-01,1,2818,5464,0.5157
2025-04-01,2,2813,5464,0.5148
2025-04-01,3,2895,5464,0.5298
2025-04-01,4,2822,5464,0.5165
2025-04-01,5,2756,5464,0.5044
2025-04-01,6,2807,5464,0.5137
2025-04-01,7,2548,5464,0.4663
2025-04-01,8,2485,5464,0.4548
2025-05-01,0,5664,5664,1.0000
2025-05-01,1,3088,5664,0.5452
2025-05-01,2,3102,5664,0.5477
2025-05-01,3,3171,5664,0.5599
2025-05-01,4,3157,5664,0.5574
2025-05-01,5,3119,5664,0.5507
2025-05-01,6,2951,5664,0.5210
2025-05-01,7,2892,5664,0.5106
2025-06-01,0,5487,5487,1.0000
2025-06-01,1,3249,5487,0.5921
2025-06-01,2,3285,5487,0.5987
2025-06-01,3,3241,5487,0.5907
2025-06-01,4,3284,5487,0.5985
2025-06-01,5,3206,5487,0.5843
2025-06-01,6,3124,5487,0.5693
2025-07-01,0,5678,5678,1.0000
2025-07-01,1,3650,5678,0.6428
2025-07-01,2,3743,5678,0.6592
2025-07-01,3,3753,5678,0.6610
2025-07-01,4,3638,5678,0.6407
2025-07-01,5,3484,5678,0.6136
2025-08-01,0,5674,5674,1.0000
2025-08-01,1,3977,5674,0.7009
2025-08-01,2,4061,5674,0.7157
2025-08-01,3,3984,5674,0.7022
2025-08-01,4,3886,5674,0.6849
2025-09-01,0,5472,5472,1.0000
2025-09-01,1,4321,5472,0.7897
2025-09-01,2,4243,5472,0.7754
2025-09-01,3,4269,5472,0.7802
